"agente","ano","concordancia","sig_em_ambas","sig_so_na_primeira","sig_so_na_segunda"
"influenza",2022,0.923913043478261,7,5,1
"sarscov2",2022,0.978260869565217,8,1,1
"vsr",2022,0.858695652173913,0,0,13
"influenza",2023,0.902173913043478,3,5,4
"sarscov2",2023,0.945652173913043,4,5,0
"vsr",2023,0.91304347826087,4,2,6
"influenza",2024,0.869565217391304,3,8,4
"sarscov2",2024,0.91304347826087,1,5,3
"vsr",2024,0.880434782608696,9,3,7
"influenza",2025,0.945652173913043,2,4,1
"sarscov2",2025,0.847826086956522,6,6,7
"vsr",2025,0.902173913043478,7,1,8
