"agente","ano","cod6","nome","valor","z","lag_z","Ii","p_perm","p_fdr","quadrante","nivel","classe","n_vizinhos","instavel"
"influenza",2022,"330010","Angra dos Reis",0.746145738287165,-2.21990438533401,-1.15669272954849,0.150452437440897,0.8592,0.922509090909091,"LL","ns","ns",3,FALSE
"influenza",2022,"330015","Aperibé",1.38384408819478,-1.5822060354264,-1.43890790171097,0.133396055398206,0.6942,0.908405479452055,"LL","ns","ns",3,FALSE
"influenza",2022,"330020","Araruama",6.46478732294741,3.49873719932623,0.349908291764806,0.0717319289583484,0.6756,0.908405479452055,"HH","ns","ns",8,FALSE
"influenza",2022,"330022","Areal",1.3431149246256,-1.62293519899558,0.406071196954479,-0.0386144913321098,0.6286,0.908405479452055,"LH","ns","ns",4,FALSE
"influenza",2022,"330023","Armação dos Búzios",0.656940885780686,-2.30910923784049,-1.97058682517293,0.266616490029472,0.6174,0.908405479452055,"LL","ns","ns",1,TRUE
"influenza",2022,"330025","Arraial do Cabo",0.785380005735427,-2.18067011788575,0.185337871084997,-0.0236810576794551,0.7208,0.908405479452055,"LH","ns","ns",4,FALSE
"influenza",2022,"330030","Barra do Piraí",2.18669250559795,-0.77935761802323,2.31760994367512,-0.105833725332748,0.1798,0.551386666666667,"LH","ns","ns",7,FALSE
"influenza",2022,"330040","Barra Mansa",1.27663973514795,-1.68941038847323,4.91630775129931,-0.486654982941336,0.012,0.1794,"LH","indicativo","LH",8,FALSE
"influenza",2022,"330045","Belford Roxo",0.674847993874215,-2.29120212974696,-2.11421019423869,0.283830145588139,0.0794,0.46184,"LL","ns","ns",4,FALSE
"influenza",2022,"330050","Bom Jardim",0.837748927020233,-2.12830119660094,2.29925270914521,-0.286725784169673,0.2948,0.674517073170732,"LH","ns","ns",4,FALSE
"influenza",2022,"330060","Bom Jesus do Itabapoana",0.720033805419459,-2.24601631820172,-1.79475297301962,0.236191650910286,0.2256,0.589311111111111,"LL","ns","ns",5,FALSE
"influenza",2022,"330070","Cabo Frio",0.995463298448245,-1.97058682517293,0.436024283970638,-0.0503446360418118,0.6372,0.908405479452055,"LH","ns","ns",5,FALSE
"influenza",2022,"330080","Cachoeiras de Macacu",3.27681556478373,0.310765441162558,1.55209689209241,0.0282617141356905,0.3208,0.686362790697674,"HH","ns","ns",7,FALSE
"influenza",2022,"330090","Cambuci",1.21731153761132,-1.74873858600985,-1.73746561851457,0.178027898518845,0.1728,0.551365517241379,"LL","ns","ns",7,FALSE
"influenza",2022,"330093","Carapebus",1.24959514510022,-1.71645497852095,3.85259619531696,-0.387465341412326,0.1738,0.551365517241379,"LH","ns","ns",3,FALSE
"influenza",2022,"330095","Comendador Levy Gasparian",1.51666469029675,-1.44938543332443,-0.851261054734477,0.072292561007589,0.895,0.925168539325843,"LL","ns","ns",2,FALSE
"influenza",2022,"330100","Campos dos Goytacazes",1.67686280356814,-1.28918732005303,-1.74136283041006,0.131538307212076,0.0836,0.46184,"LL","ns","ns",10,FALSE
"influenza",2022,"330110","Cantagalo",6.8395234876118,3.87347336399062,-0.180636914872465,-0.0409971846744207,0.8674,0.922509090909091,"HL","ns","ns",7,FALSE
"influenza",2022,"330115","Cardoso Moreira",1.28911800994316,-1.67693211367802,-1.77057618327044,0.173971077297006,0.4934,0.856467924528302,"LL","ns","ns",3,FALSE
"influenza",2022,"330120","Carmo",10.3944235914926,7.42837346787145,1.18518245255551,0.515852923370556,0.4202,0.78894693877551,"HH","ns","ns",4,FALSE
"influenza",2022,"330130","Casimiro de Abreu",7.12107857938274,4.15502845576156,6.22071219058133,1.51447135734739,0.0096,0.1794,"HH","indicativo","HH",6,FALSE
"influenza",2022,"330140","Conceição de Macabu",0.999459168606629,-1.96659095501455,1.23964194861109,-0.14284243815664,0.4158,0.78894693877551,"LH","ns","ns",6,FALSE
"influenza",2022,"330150","Cordeiro",1.00838774666195,-1.95766237695922,-0.5161335743115,0.0592034285821699,0.991,0.991,"LL","ns","ns",5,FALSE
"influenza",2022,"330160","Duas Barras",1.38670397823454,-1.57934614538664,3.28665164721783,-0.304143089663699,0.0996,0.46184,"LH","ns","ns",6,FALSE
"influenza",2022,"330170","Duque de Caxias",1.86592284141773,-1.10012728220345,-0.908936501647233,0.0585899911589037,0.6778,0.908405479452055,"LL","ns","ns",7,FALSE
"influenza",2022,"330180","Engenheiro Paulo de Frontin",1.32281486866773,-1.64323525495345,2.62902770069069,-0.253128974173151,0.2442,0.6072,"LH","ns","ns",4,FALSE
"influenza",2022,"330185","Guapimirim",0.54205453469309,-2.42399558892809,0.0809653154488034,-0.0114994690987561,0.7578,0.917336842105263,"LH","ns","ns",5,FALSE
"influenza",2022,"330187","Iguaba Grande",3.16311611331623,0.197065989695054,0.111400733977372,0.00128631307487079,0.6922,0.908405479452055,"HH","ns","ns",3,FALSE
"influenza",2022,"330190","Itaboraí",0.569024714699956,-2.39702540892122,-1.1729305084223,0.164737273306441,0.5606,0.893179661016949,"LL","ns","ns",6,FALSE
"influenza",2022,"330200","Itaguaí",1.03214922293101,-1.93390090069017,-0.0562374521398774,0.00637245541099268,0.8672,0.922509090909091,"LL","ns","ns",7,FALSE
"influenza",2022,"330205","Italva",1.23993107737678,-1.7261190462444,-1.98524957606556,0.200785714174682,0.0834,0.46184,"LL","ns","ns",6,FALSE
"influenza",2022,"330210","Itaocara",0.951807777247891,-2.01424234637329,-0.615231078009441,0.0726100842466871,0.8824,0.922509090909091,"LL","ns","ns",6,FALSE
"influenza",2022,"330220","Itaperuna",0.311849188684362,-2.65420093493682,-1.69639427977221,0.263819899313947,0.1396,0.535015384615385,"LL","ns","ns",8,FALSE
"influenza",2022,"330225","Itatiaia",2.95790773419197,-0.00814238942920209,21.4619449240228,-0.0102392441539262,0.01,0.1794,"LH","indicativo","LH",1,TRUE
"influenza",2022,"330227","Japeri",0.325147168773732,-2.64090295484744,-0.564015568184972,0.0872751265674058,0.9726,0.983287912087912,"LL","ns","ns",5,FALSE
"influenza",2022,"330230","Laje do Muriaé",1.61143292348702,-1.35461720013416,-2.37908263182992,0.188830900974215,0.0714,0.46184,"LL","ns","ns",2,FALSE
"influenza",2022,"330240","Macaé",18.4913364446207,15.5252863209995,2.61576201595852,2.37949502090477,0.127,0.531090909090909,"HH","ns","ns",6,FALSE
"influenza",2022,"330245","Macuco",1.76196214745874,-1.20408797616243,-0.252586296178517,0.0178202977985232,0.8562,0.922509090909091,"LL","ns","ns",4,FALSE
