"agente","ano","n","esperado_por_acaso","sig_sem_correcao","sig_fdr","HH_confirmado","LL_confirmado","HH_indicativo","LL_indicativo","HL_LH_sig","instaveis_sig"
"influenza",2022,92,4.6,12,0,0,0,5,5,2,1
"sarscov2",2022,92,4.6,9,0,0,0,4,3,2,0
"vsr",2022,92,4.6,0,0,0,0,0,0,0,0
"influenza",2023,92,4.6,8,0,0,0,2,5,1,0
"sarscov2",2023,92,4.6,9,0,0,0,1,4,4,0
"vsr",2023,92,4.6,6,0,0,0,1,2,3,0
"influenza",2024,92,4.6,11,0,0,0,2,4,5,1
"sarscov2",2024,92,4.6,6,0,0,0,0,4,2,0
"vsr",2024,92,4.6,12,5,3,1,6,0,2,0
"influenza",2025,92,4.6,6,0,0,0,1,4,1,0
"sarscov2",2025,92,4.6,12,0,0,0,4,4,4,0
"vsr",2025,92,4.6,8,0,0,0,4,1,3,0
