"agente","ano","variavel","vizinhanca","I","p_perm","nsim","esperado_I","alternativa"
"influenza",2022,"incid_eb_100k","queen",0.167314129170789,0.0147,9999,-0.010989010989011,"greater"
"influenza",2023,"incid_eb_100k","queen",0.207911151409823,0.0025,9999,-0.010989010989011,"greater"
"influenza",2024,"incid_eb_100k","queen",0.076922028003951,0.0947,9999,-0.010989010989011,"greater"
"influenza",2025,"incid_eb_100k","queen",0.162586062933025,0.0129,9999,-0.010989010989011,"greater"
"sarscov2",2022,"incid_eb_100k","queen",0.0780013743556613,0.095,9999,-0.010989010989011,"greater"
"sarscov2",2023,"incid_eb_100k","queen",0.112607630590247,0.0401,9999,-0.010989010989011,"greater"
"sarscov2",2024,"incid_eb_100k","queen",0.0874628361812637,0.0675,9999,-0.010989010989011,"greater"
"sarscov2",2025,"incid_eb_100k","queen",0.180317099884195,0.0092,9999,-0.010989010989011,"greater"
"vsr",2022,"incid_eb_100k","queen",0.0655853146387775,0.1034,9999,-0.010989010989011,"greater"
"vsr",2023,"incid_eb_100k","queen",-0.00984834575560481,0.4097,9999,-0.010989010989011,"greater"
"vsr",2024,"incid_eb_100k","queen",0.325875020144185,1e-04,9999,-0.010989010989011,"greater"
"vsr",2025,"incid_eb_100k","queen",0.0935382072191188,0.0727,9999,-0.010989010989011,"greater"
"influenza",2022,"incid_100k","queen",0.201444080113605,0.0042,9999,-0.010989010989011,"greater"
"influenza",2023,"incid_100k","queen",0.240413173297426,7e-04,9999,-0.010989010989011,"greater"
"influenza",2024,"incid_100k","queen",0.128245644897652,0.0332,9999,-0.010989010989011,"greater"
"influenza",2025,"incid_100k","queen",0.123097332446875,0.0341,9999,-0.010989010989011,"greater"
"sarscov2",2022,"incid_100k","queen",0.0590090293380021,0.1453,9999,-0.010989010989011,"greater"
"sarscov2",2023,"incid_100k","queen",0.12280867942375,0.0323,9999,-0.010989010989011,"greater"
"sarscov2",2024,"incid_100k","queen",0.0268620742607855,0.2217,9999,-0.010989010989011,"greater"
"sarscov2",2025,"incid_100k","queen",0.192034196263826,0.0044,9999,-0.010989010989011,"greater"
"vsr",2022,"incid_100k","queen",0.187057217173298,0.0084,9999,-0.010989010989011,"greater"
"vsr",2023,"incid_100k","queen",0.0636216284134158,0.0904,9999,-0.010989010989011,"greater"
"vsr",2024,"incid_100k","queen",0.439307319905532,1e-04,9999,-0.010989010989011,"greater"
"vsr",2025,"incid_100k","queen",0.146709785844428,0.0205,9999,-0.010989010989011,"greater"
"influenza",2022,"incid_eb_100k","rook",0.164887832869026,0.0164,9999,-0.010989010989011,"greater"
"influenza",2023,"incid_eb_100k","rook",0.219410946308114,0.0017,9999,-0.010989010989011,"greater"
"influenza",2024,"incid_eb_100k","rook",0.084431959385378,0.0831,9999,-0.010989010989011,"greater"
"influenza",2025,"incid_eb_100k","rook",0.17134202101662,0.0112,9999,-0.010989010989011,"greater"
"sarscov2",2022,"incid_eb_100k","rook",0.0737026816435501,0.1082,9999,-0.010989010989011,"greater"
"sarscov2",2023,"incid_eb_100k","rook",0.102877538310711,0.0518,9999,-0.010989010989011,"greater"
"sarscov2",2024,"incid_eb_100k","rook",0.0872501289508275,0.069,9999,-0.010989010989011,"greater"
"sarscov2",2025,"incid_eb_100k","rook",0.1938243703559,0.007,9999,-0.010989010989011,"greater"
"vsr",2022,"incid_eb_100k","rook",0.0705912700430165,0.0954,9999,-0.010989010989011,"greater"
"vsr",2023,"incid_eb_100k","rook",0.00652130224691202,0.2854,9999,-0.010989010989011,"greater"
"vsr",2024,"incid_eb_100k","rook",0.331737274908725,1e-04,9999,-0.010989010989011,"greater"
"vsr",2025,"incid_eb_100k","rook",0.0963651972903439,0.0698,9999,-0.010989010989011,"greater"
