"agente","ano","variavel","escala","n","I","p_perm","nsim","esperado_I","alternativa"
"influenza",2022,"incid_100k","regiao",9,-0.394461213063836,0.8884,9999,-0.125,"greater"
"influenza",2023,"incid_100k","regiao",9,-0.426888339345338,0.9348,9999,-0.125,"greater"
"influenza",2024,"incid_100k","regiao",9,-0.324894889926081,0.8212,9999,-0.125,"greater"
"influenza",2025,"incid_100k","regiao",9,-0.236423889563922,0.6816,9999,-0.125,"greater"
"sarscov2",2022,"incid_100k","regiao",9,-0.41784692537206,0.9492,9999,-0.125,"greater"
"sarscov2",2023,"incid_100k","regiao",9,-0.520295680569767,0.9984,9999,-0.125,"greater"
"sarscov2",2024,"incid_100k","regiao",9,-0.513411798591065,0.9959,9999,-0.125,"greater"
"sarscov2",2025,"incid_100k","regiao",9,-0.369792393852859,0.8893,9999,-0.125,"greater"
"vsr",2022,"incid_100k","regiao",9,-0.142192180611193,0.4878,9999,-0.125,"greater"
"vsr",2023,"incid_100k","regiao",9,-0.258439999222557,0.7632,9999,-0.125,"greater"
"vsr",2024,"incid_100k","regiao",9,0.0385907319002927,0.2075,9999,-0.125,"greater"
"vsr",2025,"incid_100k","regiao",9,-0.161379691955657,0.5245,9999,-0.125,"greater"
