"cod6","nome","n_vizinhos","vizinhos"
"330010","Angra dos Reis",3,"Mangaratiba; Paraty; Rio Claro"
"330015","Aperibé",3,"Cambuci; Itaocara; Santo Antônio de Pádua"
"330020","Araruama",8,"Arraial do Cabo; Cabo Frio; Casimiro de Abreu; Iguaba Grande; Rio Bonito; São Pedro da Aldeia; Saquarema; Silva Jardim"
"330022","Areal",4,"Paraíba do Sul; Petrópolis; São José do Vale do Rio Preto; Três Rios"
"330023","Armação dos Búzios",1,"Cabo Frio"
"330025","Arraial do Cabo",4,"Araruama; Cabo Frio; Iguaba Grande; São Pedro da Aldeia"
"330030","Barra do Piraí",7,"Barra Mansa; Mendes; Pinheiral; Piraí; Valença; Vassouras; Volta Redonda"
"330040","Barra Mansa",8,"Barra do Piraí; Piraí; Porto Real; Quatis; Resende; Rio Claro; Valença; Volta Redonda"
"330045","Belford Roxo",4,"Duque de Caxias; Mesquita; Nova Iguaçu; São João de Meriti"
"330050","Bom Jardim",4,"Cordeiro; Duas Barras; Nova Friburgo; Trajano de Moraes"
"330060","Bom Jesus do Itabapoana",5,"Campos dos Goytacazes; Italva; Itaperuna; Natividade; Varre-Sai"
"330070","Cabo Frio",5,"Araruama; Armação dos Búzios; Arraial do Cabo; Casimiro de Abreu; São Pedro da Aldeia"
"330080","Cachoeiras de Macacu",7,"Guapimirim; Itaboraí; Nova Friburgo; Rio Bonito; Silva Jardim; Tanguá; Teresópolis"
"330090","Cambuci",7,"Aperibé; Italva; Itaocara; Itaperuna; Santo Antônio de Pádua; São Fidélis; São José de Ubá"
"330093","Carapebus",3,"Conceição de Macabu; Macaé; Quissamã"
"330095","Comendador Levy Gasparian",2,"Paraíba do Sul; Três Rios"
"330100","Campos dos Goytacazes",10,"Bom Jesus do Itabapoana; Cardoso Moreira; Conceição de Macabu; Italva; Itaperuna; Quissamã; Santa Maria Madalena; São Fidélis; São Francisco de Itabapoana; São João da Barra"
"330110","Cantagalo",7,"Carmo; Cordeiro; Duas Barras; Itaocara; Macuco; Santo Antônio de Pádua; São Sebastião do Alto"
"330115","Cardoso Moreira",3,"Campos dos Goytacazes; Italva; São Fidélis"
"330120","Carmo",4,"Cantagalo; Duas Barras; Sapucaia; Sumidouro"
"330130","Casimiro de Abreu",6,"Araruama; Cabo Frio; Macaé; Nova Friburgo; Rio das Ostras; Silva Jardim"
"330140","Conceição de Macabu",6,"Campos dos Goytacazes; Carapebus; Macaé; Quissamã; Santa Maria Madalena; Trajano de Moraes"
"330150","Cordeiro",5,"Bom Jardim; Cantagalo; Duas Barras; Macuco; Trajano de Moraes"
"330160","Duas Barras",6,"Bom Jardim; Cantagalo; Carmo; Cordeiro; Nova Friburgo; Sumidouro"
"330170","Duque de Caxias",7,"Belford Roxo; Magé; Miguel Pereira; Nova Iguaçu; Petrópolis; Rio de Janeiro; São João de Meriti"
"330180","Engenheiro Paulo de Frontin",4,"Mendes; Miguel Pereira; Paracambi; Vassouras"
"330185","Guapimirim",5,"Cachoeiras de Macacu; Itaboraí; Magé; Petrópolis; Teresópolis"
"330187","Iguaba Grande",3,"Araruama; Arraial do Cabo; São Pedro da Aldeia"
"330190","Itaboraí",6,"Cachoeiras de Macacu; Guapimirim; Maricá; Rio Bonito; São Gonçalo; Tanguá"
"330200","Itaguaí",7,"Mangaratiba; Nova Iguaçu; Paracambi; Piraí; Rio Claro; Rio de Janeiro; Seropédica"
"330205","Italva",6,"Bom Jesus do Itabapoana; Cambuci; Campos dos Goytacazes; Cardoso Moreira; Itaperuna; São Fidélis"
"330210","Itaocara",6,"Aperibé; Cambuci; Cantagalo; Santo Antônio de Pádua; São Fidélis; São Sebastião do Alto"
