"agente","ano","municipios","zeros","zeros_esperados","zeros_sem_notificacao","outros_sem_notificacao","pop_mediana_zeros","pop_mediana_outros","zeros_sem_leito","outros_sem_leito","fichas_zeros","zeros_sem_ficha","pct_testadas_zeros","pct_testadas_outros"
"sarscov2",2022,92,1,0.00541293107772762,1,14,10232,38961,0,7,4,0,1,0.874670729817675
"sarscov2",2023,92,10,1.75465189336588,8,23,14235.5,42836.5,3,4,48,2,0.6875,0.883625969783585
"sarscov2",2024,92,20,5.89789346386842,16,19,13025.5,56706.5,5,2,124,1,0.758064516129032,0.89682276098749
"sarscov2",2025,92,27,15.9158599825265,16,13,15551,82319,6,1,446,0,0.591928251121076,0.923332459131043
"influenza",2022,92,45,35.2786716596255,13,2,21104,116841,6,1,1814,0,0.7348401323043,0.881556133506719
"influenza",2023,92,31,24.4844131591526,18,13,22423,92251,4,3,391,2,0.833759590792839,0.884149825964985
"influenza",2024,92,13,9.03462132421595,12,23,14158,44467,0,7,212,1,0.900943396226415,0.895817109800868
"influenza",2025,92,11,4.20917145899172,10,19,10654,44479,1,6,134,0,0.619402985074627,0.91871496334627
"vsr",2022,92,44,14.2331998579112,10,5,17615.5,123226.5,7,0,2064,0,0.758236434108527,0.881239430472969
"vsr",2023,92,43,18.5667253077856,20,11,19679,133429,7,0,602,2,0.82890365448505,0.884861855236895
"vsr",2024,92,31,7.06830668350815,21,14,17832,95201,6,1,384,1,0.864583333333333,0.896551724137931
"vsr",2025,92,19,2.13318091488378,8,21,18291,54311,4,3,684,0,0.343567251461988,0.934319787985866
