"regra","agente","ano","casos","com_outro_agente_detectado"
"R1_estrita_pdf","sarscov2",2022,13551,68
"R1_estrita_pdf","sarscov2",2023,3251,24
"R1_estrita_pdf","sarscov2",2024,2026,28
"R1_estrita_pdf","sarscov2",2025,1038,56
"R1_estrita_pdf","influenza",2022,326,13
"R1_estrita_pdf","influenza",2023,626,13
"R1_estrita_pdf","influenza",2024,1630,30
"R1_estrita_pdf","influenza",2025,2649,54
"R1_estrita_pdf","vsr",2022,1169,2
"R1_estrita_pdf","vsr",2023,921,1
"R1_estrita_pdf","vsr",2024,2037,0
"R1_estrita_pdf","vsr",2025,3812,5
"R2_vigilancia","sarscov2",2022,16658,83
"R2_vigilancia","sarscov2",2023,4062,32
"R2_vigilancia","sarscov2",2024,2278,39
"R2_vigilancia","sarscov2",2025,1089,57
"R2_vigilancia","influenza",2022,384,37
"R2_vigilancia","influenza",2023,671,15
"R2_vigilancia","influenza",2024,1727,38
"R2_vigilancia","influenza",2025,2754,62
"R2_vigilancia","vsr",2022,1169,2
"R2_vigilancia","vsr",2023,921,1
"R2_vigilancia","vsr",2024,2037,0
"R2_vigilancia","vsr",2025,3812,5
"R3_qualquer_evidencia_lab","sarscov2",2022,16819,86
"R3_qualquer_evidencia_lab","sarscov2",2023,4082,32
"R3_qualquer_evidencia_lab","sarscov2",2024,2288,39
"R3_qualquer_evidencia_lab","sarscov2",2025,1092,57
"R3_qualquer_evidencia_lab","influenza",2022,387,38
"R3_qualquer_evidencia_lab","influenza",2023,673,16
"R3_qualquer_evidencia_lab","influenza",2024,1728,38
"R3_qualquer_evidencia_lab","influenza",2025,2758,62
"R3_qualquer_evidencia_lab","vsr",2022,1169,2
"R3_qualquer_evidencia_lab","vsr",2023,921,1
"R3_qualquer_evidencia_lab","vsr",2024,2037,0
"R3_qualquer_evidencia_lab","vsr",2025,3812,5
"R4_classificacao","sarscov2",2022,18647,86
"R4_classificacao","sarscov2",2023,4123,32
"R4_classificacao","sarscov2",2024,2307,39
"R4_classificacao","sarscov2",2025,1098,57
"R4_classificacao","influenza",2022,422,38
"R4_classificacao","influenza",2023,697,16
"R4_classificacao","influenza",2024,1785,38
"R4_classificacao","influenza",2025,2771,62
"R4_classificacao","vsr",2022,1169,2
"R4_classificacao","vsr",2023,921,1
"R4_classificacao","vsr",2024,2037,0
"R4_classificacao","vsr",2025,3812,5
"R5_laboratorial","sarscov2",2022,13773,79
"R5_laboratorial","sarscov2",2023,3311,39
"R5_laboratorial","sarscov2",2024,2072,37
"R5_laboratorial","sarscov2",2025,1088,71
"R5_laboratorial","influenza",2022,383,63
"R5_laboratorial","influenza",2023,669,32
"R5_laboratorial","influenza",2024,1683,49
"R5_laboratorial","influenza",2025,2687,83
"R5_laboratorial","vsr",2022,1231,37
"R5_laboratorial","vsr",2023,950,11
"R5_laboratorial","vsr",2024,2116,30
"R5_laboratorial","vsr",2025,4020,80
