"regra","agente","ano","casos"
"R1_estrita_pdf","sarscov2",2022,13551
"R1_estrita_pdf","sarscov2",2023,3251
"R1_estrita_pdf","sarscov2",2024,2026
"R1_estrita_pdf","sarscov2",2025,1038
"R1_estrita_pdf","influenza",2022,326
"R1_estrita_pdf","influenza",2023,626
"R1_estrita_pdf","influenza",2024,1630
"R1_estrita_pdf","influenza",2025,2649
"R1_estrita_pdf","vsr",2022,1169
"R1_estrita_pdf","vsr",2023,921
"R1_estrita_pdf","vsr",2024,2037
"R1_estrita_pdf","vsr",2025,3812
"R1_estrita_pdf","fichas_em_2_ou_mais_agentes",2022,0
"R1_estrita_pdf","fichas_em_2_ou_mais_agentes",2023,0
"R1_estrita_pdf","fichas_em_2_ou_mais_agentes",2024,0
"R1_estrita_pdf","fichas_em_2_ou_mais_agentes",2025,0
"R2_vigilancia","sarscov2",2022,16658
"R2_vigilancia","sarscov2",2023,4062
"R2_vigilancia","sarscov2",2024,2278
"R2_vigilancia","sarscov2",2025,1089
"R2_vigilancia","influenza",2022,384
"R2_vigilancia","influenza",2023,671
"R2_vigilancia","influenza",2024,1727
"R2_vigilancia","influenza",2025,2754
"R2_vigilancia","vsr",2022,1169
"R2_vigilancia","vsr",2023,921
"R2_vigilancia","vsr",2024,2037
"R2_vigilancia","vsr",2025,3812
"R2_vigilancia","fichas_em_2_ou_mais_agentes",2022,0
"R2_vigilancia","fichas_em_2_ou_mais_agentes",2023,0
"R2_vigilancia","fichas_em_2_ou_mais_agentes",2024,0
"R2_vigilancia","fichas_em_2_ou_mais_agentes",2025,0
"R3_qualquer_evidencia_lab","sarscov2",2022,16819
"R3_qualquer_evidencia_lab","sarscov2",2023,4082
"R3_qualquer_evidencia_lab","sarscov2",2024,2288
"R3_qualquer_evidencia_lab","sarscov2",2025,1092
"R3_qualquer_evidencia_lab","influenza",2022,387
"R3_qualquer_evidencia_lab","influenza",2023,673
"R3_qualquer_evidencia_lab","influenza",2024,1728
"R3_qualquer_evidencia_lab","influenza",2025,2758
"R3_qualquer_evidencia_lab","vsr",2022,1169
"R3_qualquer_evidencia_lab","vsr",2023,921
"R3_qualquer_evidencia_lab","vsr",2024,2037
"R3_qualquer_evidencia_lab","vsr",2025,3812
"R3_qualquer_evidencia_lab","fichas_em_2_ou_mais_agentes",2022,0
"R3_qualquer_evidencia_lab","fichas_em_2_ou_mais_agentes",2023,0
"R3_qualquer_evidencia_lab","fichas_em_2_ou_mais_agentes",2024,0
"R3_qualquer_evidencia_lab","fichas_em_2_ou_mais_agentes",2025,0
"R4_classificacao","sarscov2",2022,18647
"R4_classificacao","sarscov2",2023,4123
"R4_classificacao","sarscov2",2024,2307
"R4_classificacao","sarscov2",2025,1098
"R4_classificacao","influenza",2022,422
"R4_classificacao","influenza",2023,697
"R4_classificacao","influenza",2024,1785
"R4_classificacao","influenza",2025,2771
"R4_classificacao","vsr",2022,1169
"R4_classificacao","vsr",2023,921
"R4_classificacao","vsr",2024,2037
"R4_classificacao","vsr",2025,3812
"R4_classificacao","fichas_em_2_ou_mais_agentes",2022,0
"R4_classificacao","fichas_em_2_ou_mais_agentes",2023,0
"R4_classificacao","fichas_em_2_ou_mais_agentes",2024,0
"R4_classificacao","fichas_em_2_ou_mais_agentes",2025,0
"R5_laboratorial","sarscov2",2022,13773
"R5_laboratorial","sarscov2",2023,3311
"R5_laboratorial","sarscov2",2024,2072
"R5_laboratorial","sarscov2",2025,1088
"R5_laboratorial","influenza",2022,383
"R5_laboratorial","influenza",2023,669
"R5_laboratorial","influenza",2024,1683
"R5_laboratorial","influenza",2025,2687
"R5_laboratorial","vsr",2022,1231
"R5_laboratorial","vsr",2023,950
"R5_laboratorial","vsr",2024,2116
"R5_laboratorial","vsr",2025,4020
"R5_laboratorial","fichas_em_2_ou_mais_agentes",2022,89
"R5_laboratorial","fichas_em_2_ou_mais_agentes",2023,41
"R5_laboratorial","fichas_em_2_ou_mais_agentes",2024,58
"R5_laboratorial","fichas_em_2_ou_mais_agentes",2025,117
