"cod6","nome","pop_2022","pop_2024","pop_2025","pop_2021","razao_2021_censo","razao_2024_censo"
"330455","Rio de Janeiro - RJ",6211223,6729894,6730729,6775561,1.09085779080867,1.08350545456185
"330270","Maricá - RJ",197277,211986,212470,167668,0.849911545694632,1.07456013625511
"330452","Rio das Ostras - RJ",156491,168099,168455,159529,1.01941325699241,1.07417678971954
"330100","Campos dos Goytacazes - RJ",483540,519011,519259,514643,1.06432353062828,1.0733569094594
"330045","Belford Roxo - RJ",483087,518263,518384,515239,1.06655529956302,1.07281504159706
"330350","Nova Iguaçu - RJ",785867,843046,843220,825388,1.05028968006037,1.07275913099799
"330330","Niterói - RJ",481749,516720,516787,516981,1.07313351973746,1.07259174383341
"330070","Cabo Frio - RJ",222161,238166,238438,234077,1.05363677693204,1.07204234766678
"330240","Macaé - RJ",246391,264138,264439,266136,1.08013685564814,1.07202779322297
"330170","Duque de Caxias - RJ",808161,866347,866225,929449,1.15007900653459,1.07199803009549
"330490","São Gonçalo - RJ",896744,960652,960196,1098357,1.22482782154104,1.07126671603044
"330340","Nova Friburgo - RJ",189939,203328,203417,191664,1.00908186312448,1.0704910523905
"330190","Itaboraí - RJ",224267,240040,240127,244416,1.08984380225356,1.07033134611869
"330630","Volta Redonda - RJ",261563,279898,279971,274925,1.05108520700558,1.07009783493843
"330580","Teresópolis - RJ",165123,176692,176735,185820,1.1253429261823,1.07006292279089
"330250","Magé - RJ",228127,244092,244142,247741,1.08597842429875,1.0699829480947
"330285","Mesquita - RJ",167127,178803,178830,177016,1.05917057088322,1.06986303828825
"330010","Angra dos Reis - RJ",167434,179120,179142,210171,1.25524684353238,1.06979466536068
"330040","Barra Mansa - RJ",169894,181688,181679,185237,1.09030925165103,1.06941975584776
"330550","Saquarema - RJ",89559,95201,95315,91938,1.02656349445617,1.06299757701627
"330520","São Pedro da Aldeia - RJ",104029,110556,110677,107556,1.03390400753636,1.06274211998577
"330020","Araruama - RJ",129671,137773,137906,136109,1.04964872639218,1.06248120242768
"330420","Resende - RJ",129612,137612,137697,133244,1.02802209671944,1.06172267999877
"330220","Itaperuna - RJ",101041,107246,107297,104354,1.03278866994586,1.06141071446245
"330200","Itaguaí - RJ",116841,123980,124021,136547,1.16865655035476,1.06110012752373
"330414","Queimados - RJ",140523,149093,149135,152311,1.08388662354205,1.0609864577329
"330023","Armação dos Búzios - RJ",40006,42442,42527,35060,0.876368544718292,1.06089086637004
"330227","Japeri - RJ",96289,102149,102171,106296,1.10392672060152,1.06085845735235
"330030","Barra do Piraí - RJ",92883,98501,98506,101139,1.08888601789348,1.06048469580009
"330320","Nilópolis - RJ",146774,155544,155500,162893,1.10982190306185,1.05975172714513
"330187","Iguaba Grande - RJ",27920,29577,29616,29344,1.05100286532951,1.05934813753582
"330500","São João da Barra - RJ",36573,38708,38740,36731,1.00432012686955,1.05837639788915
"330025","Arraial do Cabo - RJ",30986,32794,32822,30827,0.994868650358226,1.05834893177564
"330260","Mangaratiba - RJ",41220,43624,43660,45941,1.11453178068899,1.05832120329937
"330385","Paty do Alferes - RJ",29619,31345,31370,27942,0.943380937911476,1.05827340558425
