"agente";"ano";"casos";"populacao";"taxa_100mil";"taxa_pop2024_100mil"
"Influenza";2022;384;16055174;2,39;2,23
"Influenza";2023;671;16610812;4,04;3,9
"Influenza";2024;1727;17219679;10,03;10,03
"Influenza";2025;2754;17223547;15,99;15,99
"SARS-CoV-2";2022;16658;16055174;103,75;96,74
"SARS-CoV-2";2023;4062;16610812;24,45;23,59
"SARS-CoV-2";2024;2278;17219679;13,23;13,23
"SARS-CoV-2";2025;1089;17223547;6,32;6,32
"VSR";2022;1169;16055174;7,28;6,79
"VSR";2023;921;16610812;5,54;5,35
"VSR";2024;2037;17219679;11,83;11,83
"VSR";2025;3812;17223547;22,13;22,14
