"codigo_ibge";"municipio";"agente";"ano";"casos";"populacao";"fonte_populacao";"taxa_bruta_100mil";"taxa_bruta_pop2024_100mil";"taxa_suavizada_100mil";"taxa_padronizada_idade_100mil"
"3300100";"Angra dos Reis";"Influenza";2022;1;167434;"Censo 2022, população residente (data de referência 01/08/2022)";0,6;0,56;0,75;1,06
"3300159";"Aperibé";"Influenza";2022;0;11034;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,38;0
"3300209";"Araruama";"Influenza";2022;9;129671;"Censo 2022, população residente (data de referência 01/08/2022)";6,94;6,53;6,46;6,59
"3300225";"Areal";"Influenza";2022;0;11828;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,34;0
"3300233";"Armação dos Búzios";"Influenza";2022;0;40006;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,66;0
"3300258";"Arraial do Cabo";"Influenza";2022;0;30986;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,79;0
"3300308";"Barra do Piraí";"Influenza";2022;2;92883;"Censo 2022, população residente (data de referência 01/08/2022)";2,15;2,03;2,19;2,04
"3300407";"Barra Mansa";"Influenza";2022;2;169894;"Censo 2022, população residente (data de referência 01/08/2022)";1,18;1,1;1,28;1,18
"3300456";"Belford Roxo";"Influenza";2022;3;483087;"Censo 2022, população residente (data de referência 01/08/2022)";0,62;0,58;0,67;0,54
"3300506";"Bom Jardim";"Influenza";2022;0;28102;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,84;0
"3300605";"Bom Jesus do Itabapoana";"Influenza";2022;0;35173;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,72;0
"3300704";"Cabo Frio";"Influenza";2022;2;222161;"Censo 2022, população residente (data de referência 01/08/2022)";0,9;0,84;1;0,84
"3300803";"Cachoeiras de Macacu";"Influenza";2022;2;56943;"Censo 2022, população residente (data de referência 01/08/2022)";3,51;3,34;3,28;3,62
"3300902";"Cambuci";"Influenza";2022;0;14616;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,22;0
"3301009";"Campos dos Goytacazes";"Influenza";2022;8;483540;"Censo 2022, população residente (data de referência 01/08/2022)";1,65;1,54;1,68;1,69
"3301108";"Cantagalo";"Influenza";2022;2;19390;"Censo 2022, população residente (data de referência 01/08/2022)";10,31;10;6,84;9,82
"3300936";"Carapebus";"Influenza";2022;0;13847;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,25;0
"3301157";"Cardoso Moreira";"Influenza";2022;0;12958;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,29;0
"3301207";"Carmo";"Influenza";2022;3;17198;"Censo 2022, população residente (data de referência 01/08/2022)";17,44;16,91;10,39;17,67
"3301306";"Casimiro de Abreu";"Influenza";2022;4;46110;"Censo 2022, população residente (data de referência 01/08/2022)";8,67;8,24;7,12;9,76
"3300951";"Comendador Levy Gasparian";"Influenza";2022;0;8741;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,52;0
"3301405";"Conceição de Macabu";"Influenza";2022;0;21104;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1;0
"3301504";"Cordeiro";"Influenza";2022;0;20783;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,01;0
"3301603";"Duas Barras";"Influenza";2022;0;10980;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,39;0
"3301702";"Duque de Caxias";"Influenza";2022;15;808161;"Censo 2022, população residente (data de referência 01/08/2022)";1,86;1,73;1,87;1,76
"3301801";"Engenheiro Paulo de Frontin";"Influenza";2022;0;12242;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,32;0
"3301850";"Guapimirim";"Influenza";2022;0;51696;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,54;0
"3301876";"Iguaba Grande";"Influenza";2022;1;27920;"Censo 2022, população residente (data de referência 01/08/2022)";3,58;3,38;3,16;3,74
"3301900";"Itaboraí";"Influenza";2022;1;224267;"Censo 2022, população residente (data de referência 01/08/2022)";0,45;0,42;0,57;0,39
"3302007";"Itaguaí";"Influenza";2022;1;116841;"Censo 2022, população residente (data de referência 01/08/2022)";0,86;0,81;1,03;0,98
"3302056";"Italva";"Influenza";2022;0;14073;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,24;0
"3302106";"Itaocara";"Influenza";2022;0;22919;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,95;0
"3302205";"Itaperuna";"Influenza";2022;0;101041;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,31;0
"3302254";"Itatiaia";"Influenza";2022;1;30908;"Censo 2022, população residente (data de referência 01/08/2022)";3,24;3,06;2,96;3,19
"3302270";"Japeri";"Influenza";2022;0;96289;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,33;0
"3302304";"Laje do Muriaé";"Influenza";2022;0;7336;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,61;0
"3302403";"Macaé";"Influenza";2022;48;246391;"Censo 2022, população residente (data de referência 01/08/2022)";19,48;18,17;18,49;20,88
"3302452";"Macuco";"Influenza";2022;0;5415;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,76;0
"3302502";"Magé";"Influenza";2022;4;228127;"Censo 2022, população residente (data de referência 01/08/2022)";1,75;1,64;1,79;1,61
"3302601";"Mangaratiba";"Influenza";2022;0;41220;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,64;0
"3302700";"Maricá";"Influenza";2022;1;197277;"Censo 2022, população residente (data de referência 01/08/2022)";0,51;0,47;0,64;0,47
"3302809";"Mendes";"Influenza";2022;0;17502;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,11;0
"3302858";"Mesquita";"Influenza";2022;0;167127;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,2;0
"3302908";"Miguel Pereira";"Influenza";2022;0;26582;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,87;0
"3303005";"Miracema";"Influenza";2022;0;26881;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;0,86;0
"3303104";"Natividade";"Influenza";2022;0;15074;"Censo 2022, população residente (data de referência 01/08/2022)";0;0;1,2;0
