"codigo_regiao";"regiao_de_saude";"municipios";"agente";"ano";"casos";"populacao";"taxa_bruta_100mil";"taxa_bruta_pop2024_100mil"
"33001";"Baía da Ilha Grande";3;"Influenza";2022;1;253897;0,39;0,37
"33002";"Baixada Litorânea";9;"Influenza";2022;28;846933;3,31;3,1
"33003";"Centro-Sul";11;"Influenza";2022;15;320003;4,69;4,46
"33004";"Médio Paraíba";12;"Influenza";2022;66;865130;7,63;7,19
"33005";"Metropolitana I";12;"Influenza";2022;122;9705577;1,26;1,17
"33006";"Metropolitana II";7;"Influenza";2022;25;1908751;1,31;1,22
"33007";"Noroeste";14;"Influenza";2022;1;336995;0,3;0,28
"33008";"Norte";8;"Influenza";2022;58;907868;6,39;5,98
"33009";"Serrana";16;"Influenza";2022;68;910020;7,47;7,06
"33001";"Baía da Ilha Grande";3;"Influenza";2023;19;261751;7,26;7,03
"33002";"Baixada Litorânea";9;"Influenza";2023;56;873767;6,41;6,2
"33003";"Centro-Sul";11;"Influenza";2023;15;327666;4,58;4,46
"33004";"Médio Paraíba";12;"Influenza";2023;71;890562;7,97;7,73
"33005";"Metropolitana I";12;"Influenza";2023;280;10066730;2,78;2,68
"33006";"Metropolitana II";7;"Influenza";2023;90;1972995;4,56;4,4
"33007";"Noroeste";14;"Influenza";2023;7;344827;2,03;1,98
"33008";"Norte";8;"Influenza";2023;54;937344;5,76;5,57
"33009";"Serrana";16;"Influenza";2023;79;935170;8,45;8,21
"33001";"Baía da Ilha Grande";3;"Influenza";2024;24;270358;8,88;8,88
"33002";"Baixada Litorânea";9;"Influenza";2024;104;903171;11,51;11,51
"33003";"Centro-Sul";11;"Influenza";2024;16;336061;4,76;4,76
"33004";"Médio Paraíba";12;"Influenza";2024;175;918430;19,05;19,05
"33005";"Metropolitana I";12;"Influenza";2024;933;10462484;8,92;8,92
"33006";"Metropolitana II";7;"Influenza";2024;178;2043395;8,71;8,71
"33007";"Noroeste";14;"Influenza";2024;71;353408;20,09;20,09
"33008";"Norte";8;"Influenza";2024;90;969642;9,28;9,28
"33009";"Serrana";16;"Influenza";2024;136;962730;14,13;14,13
"33001";"Baía da Ilha Grande";3;"Influenza";2025;22;270470;8,13;8,14
"33002";"Baixada Litorânea";9;"Influenza";2025;97;904392;10,73;10,74
"33003";"Centro-Sul";11;"Influenza";2025;84;336114;24,99;25
"33004";"Médio Paraíba";12;"Influenza";2025;391;918649;42,56;42,57
"33005";"Metropolitana I";12;"Influenza";2025;1328;10463654;12,69;12,69
"33006";"Metropolitana II";7;"Influenza";2025;297;2043599;14,53;14,53
"33007";"Noroeste";14;"Influenza";2025;83;353499;23,48;23,49
"33008";"Norte";8;"Influenza";2025;186;970288;19,17;19,18
"33009";"Serrana";16;"Influenza";2025;266;962882;27,63;27,63
"33001";"Baía da Ilha Grande";3;"SARS-CoV-2";2022;184;253897;72,47;68,06
"33002";"Baixada Litorânea";9;"SARS-CoV-2";2022;692;846933;81,71;76,62
"33003";"Centro-Sul";11;"SARS-CoV-2";2022;329;320003;102,81;97,9
"33004";"Médio Paraíba";12;"SARS-CoV-2";2022;1782;865130;205,98;194,03
"33005";"Metropolitana I";12;"SARS-CoV-2";2022;8041;9705577;82,85;76,86
"33006";"Metropolitana II";7;"SARS-CoV-2";2022;2745;1908751;143,81;134,34
"33007";"Noroeste";14;"SARS-CoV-2";2022;231;336995;68,55;65,36
"33008";"Norte";8;"SARS-CoV-2";2022;949;907868;104,53;97,87
"33009";"Serrana";16;"SARS-CoV-2";2022;1705;910020;187,36;177,1
"33001";"Baía da Ilha Grande";3;"SARS-CoV-2";2023;38;261751;14,52;14,06
"33002";"Baixada Litorânea";9;"SARS-CoV-2";2023;121;873767;13,85;13,4
"33003";"Centro-Sul";11;"SARS-CoV-2";2023;45;327666;13,73;13,39
"33004";"Médio Paraíba";12;"SARS-CoV-2";2023;496;890562;55,7;54,01
