"codigo_ibge";"municipio";"ano";"estabelecimentos";"leitos_sus";"leitos_uti_sus";"populacao";"leitos_sus_100mil";"leitos_uti_sus_100mil"
"3300100";"Angra dos Reis";2022;6;295;32;167434;176,19;19,11
"3300159";"Aperibé";2022;1;35;0;11034;317,2;0
"3300209";"Araruama";2022;5;152;13;129671;117,22;10,03
"3300225";"Areal";2022;1;21;0;11828;177,54;0
"3300233";"Armação dos Búzios";2022;1;90;10;40006;224,97;25
"3300258";"Arraial do Cabo";2022;2;77;0;30986;248,5;0
"3300308";"Barra do Piraí";2022;5;242;7;92883;260,54;7,54
"3300407";"Barra Mansa";2022;8;230;26;169894;135,38;15,3
"3300456";"Belford Roxo";2022;9;333;10;483087;68,93;2,07
"3300506";"Bom Jardim";2022;1;62;0;28102;220,62;0
"3300605";"Bom Jesus do Itabapoana";2022;1;120;25;35173;341,17;71,08
"3300704";"Cabo Frio";2022;11;217;5;222161;97,68;2,25
"3300803";"Cachoeiras de Macacu";2022;1;80;0;56943;140,49;0
"3300902";"Cambuci";2022;1;39;4;14616;266,83;27,37
"3301009";"Campos dos Goytacazes";2022;17;1263;154;483540;261,2;31,85
"3301108";"Cantagalo";2022;2;81;10;19390;417,74;51,57
"3300936";"Carapebus";2022;1;8;0;13847;57,77;0
"3301157";"Cardoso Moreira";2022;0;0;0;12958;0;0
"3301207";"Carmo";2022;1;39;0;17198;226,77;0
"3301306";"Casimiro de Abreu";2022;1;50;0;46110;108,44;0
"3300951";"Comendador Levy Gasparian";2022;0;0;0;8741;0;0
"3301405";"Conceição de Macabu";2022;1;21;0;21104;99,51;0
"3301504";"Cordeiro";2022;1;40;0;20783;192,46;0
"3301603";"Duas Barras";2022;1;30;0;10980;273,22;0
"3301702";"Duque de Caxias";2022;19;997;52;808161;123,37;6,43
"3301801";"Engenheiro Paulo de Frontin";2022;1;23;0;12242;187,88;0
"3301850";"Guapimirim";2022;2;102;0;51696;197,31;0
"3301876";"Iguaba Grande";2022;0;0;0;27920;0;0
"3301900";"Itaboraí";2022;5;326;15;224267;145,36;6,69
"3302007";"Itaguaí";2022;3;121;10;116841;103,56;8,56
"3302056";"Italva";2022;1;0;0;14073;0;0
"3302106";"Itaocara";2022;3;47;4;22919;205,07;17,45
"3302205";"Itaperuna";2022;4;292;69;101041;288,99;68,29
"3302254";"Itatiaia";2022;1;36;0;30908;116,47;0
"3302270";"Japeri";2022;1;20;0;96289;20,77;0
"3302304";"Laje do Muriaé";2022;1;30;0;7336;408,94;0
"3302403";"Macaé";2022;6;305;36;246391;123,79;14,61
