"codigo_ibge";"municipio";"agente";"ano";"taxa_suavizada_100mil";"quadrante";"nivel";"categoria";"p_permutacao";"p_corrigido_fdr";"um_unico_vizinho"
"3300100";"Angra dos Reis";"Influenza";2022;0,75;"Baixo-Baixo";"ns";"Não significativo";0,859;0,923;"não"
"3300159";"Aperibé";"Influenza";2022;1,38;"Baixo-Baixo";"ns";"Não significativo";0,694;0,908;"não"
"3300209";"Araruama";"Influenza";2022;6,46;"Alto-Alto";"ns";"Não significativo";0,676;0,908;"não"
"3300225";"Areal";"Influenza";2022;1,34;"Baixo-Alto";"ns";"Não significativo";0,629;0,908;"não"
"3300233";"Armação dos Búzios";"Influenza";2022;0,66;"Baixo-Baixo";"ns";"Não significativo";0,617;0,908;"sim"
"3300258";"Arraial do Cabo";"Influenza";2022;0,79;"Baixo-Alto";"ns";"Não significativo";0,721;0,908;"não"
"3300308";"Barra do Piraí";"Influenza";2022;2,19;"Baixo-Alto";"ns";"Não significativo";0,18;0,551;"não"
"3300407";"Barra Mansa";"Influenza";2022;1,28;"Baixo-Alto";"indicativo";"Baixo-Alto (indicativo)";0,012;0,179;"não"
"3300456";"Belford Roxo";"Influenza";2022;0,67;"Baixo-Baixo";"ns";"Não significativo";0,0794;0,462;"não"
"3300506";"Bom Jardim";"Influenza";2022;0,84;"Baixo-Alto";"ns";"Não significativo";0,295;0,675;"não"
"3300605";"Bom Jesus do Itabapoana";"Influenza";2022;0,72;"Baixo-Baixo";"ns";"Não significativo";0,226;0,589;"não"
"3300704";"Cabo Frio";"Influenza";2022;1;"Baixo-Alto";"ns";"Não significativo";0,637;0,908;"não"
"3300803";"Cachoeiras de Macacu";"Influenza";2022;3,28;"Alto-Alto";"ns";"Não significativo";0,321;0,686;"não"
"3300902";"Cambuci";"Influenza";2022;1,22;"Baixo-Baixo";"ns";"Não significativo";0,173;0,551;"não"
"3301009";"Campos dos Goytacazes";"Influenza";2022;1,68;"Baixo-Baixo";"ns";"Não significativo";0,0836;0,462;"não"
