"agente";"ano";"variavel";"vizinhanca";"I_de_Moran";"p_permutacao";"permutacoes"
"Influenza";2022;"taxa suavizada";"queen";0,1673;0,0147;9999
"Influenza";2023;"taxa suavizada";"queen";0,2079;0,0025;9999
"Influenza";2024;"taxa suavizada";"queen";0,0769;0,0947;9999
"Influenza";2025;"taxa suavizada";"queen";0,1626;0,0129;9999
"SARS-CoV-2";2022;"taxa suavizada";"queen";0,078;0,095;9999
"SARS-CoV-2";2023;"taxa suavizada";"queen";0,1126;0,0401;9999
"SARS-CoV-2";2024;"taxa suavizada";"queen";0,0875;0,0675;9999
"SARS-CoV-2";2025;"taxa suavizada";"queen";0,1803;0,0092;9999
"VSR";2022;"taxa suavizada";"queen";0,0656;0,103;9999
"VSR";2023;"taxa suavizada";"queen";-0,0098;0,41;9999
"VSR";2024;"taxa suavizada";"queen";0,3259;1e-04;9999
"VSR";2025;"taxa suavizada";"queen";0,0935;0,0727;9999
"Influenza";2022;"taxa bruta";"queen";0,2014;0,0042;9999
"Influenza";2023;"taxa bruta";"queen";0,2404;7e-04;9999
"Influenza";2024;"taxa bruta";"queen";0,1282;0,0332;9999
"Influenza";2025;"taxa bruta";"queen";0,1231;0,0341;9999
"SARS-CoV-2";2022;"taxa bruta";"queen";0,059;0,145;9999
"SARS-CoV-2";2023;"taxa bruta";"queen";0,1228;0,0323;9999
"SARS-CoV-2";2024;"taxa bruta";"queen";0,0269;0,222;9999
"SARS-CoV-2";2025;"taxa bruta";"queen";0,192;0,0044;9999
"VSR";2022;"taxa bruta";"queen";0,1871;0,0084;9999
"VSR";2023;"taxa bruta";"queen";0,0636;0,0904;9999
"VSR";2024;"taxa bruta";"queen";0,4393;1e-04;9999
"VSR";2025;"taxa bruta";"queen";0,1467;0,0205;9999
"Influenza";2022;"taxa suavizada";"rook";0,1649;0,0164;9999
"Influenza";2023;"taxa suavizada";"rook";0,2194;0,0017;9999
"Influenza";2024;"taxa suavizada";"rook";0,0844;0,0831;9999
"Influenza";2025;"taxa suavizada";"rook";0,1713;0,0112;9999
"SARS-CoV-2";2022;"taxa suavizada";"rook";0,0737;0,108;9999
"SARS-CoV-2";2023;"taxa suavizada";"rook";0,1029;0,0518;9999
"SARS-CoV-2";2024;"taxa suavizada";"rook";0,0873;0,069;9999
"SARS-CoV-2";2025;"taxa suavizada";"rook";0,1938;0,007;9999
"VSR";2022;"taxa suavizada";"rook";0,0706;0,0954;9999
"VSR";2023;"taxa suavizada";"rook";0,0065;0,285;9999
"VSR";2024;"taxa suavizada";"rook";0,3317;1e-04;9999
"VSR";2025;"taxa suavizada";"rook";0,0964;0,0698;9999
