"codigo_ibge";"municipio";"codigo_regiao";"regiao_de_saude"
"3300100";"Angra dos Reis";"33001";"Baía da Ilha Grande"
"3302601";"Mangaratiba";"33001";"Baía da Ilha Grande"
"3303807";"Paraty";"33001";"Baía da Ilha Grande"
"3300209";"Araruama";"33002";"Baixada Litorânea"
"3300233";"Armação dos Búzios";"33002";"Baixada Litorânea"
"3300258";"Arraial do Cabo";"33002";"Baixada Litorânea"
"3300704";"Cabo Frio";"33002";"Baixada Litorânea"
"3301306";"Casimiro de Abreu";"33002";"Baixada Litorânea"
"3301876";"Iguaba Grande";"33002";"Baixada Litorânea"
"3304524";"Rio das Ostras";"33002";"Baixada Litorânea"
"3305208";"São Pedro da Aldeia";"33002";"Baixada Litorânea"
"3305505";"Saquarema";"33002";"Baixada Litorânea"
"3300225";"Areal";"33003";"Centro-Sul"
"3300951";"Comendador Levy Gasparian";"33003";"Centro-Sul"
"3301801";"Engenheiro Paulo de Frontin";"33003";"Centro-Sul"
"3302809";"Mendes";"33003";"Centro-Sul"
"3302908";"Miguel Pereira";"33003";"Centro-Sul"
"3303609";"Paracambi";"33003";"Centro-Sul"
"3303708";"Paraíba do Sul";"33003";"Centro-Sul"
"3303856";"Paty do Alferes";"33003";"Centro-Sul"
"3305406";"Sapucaia";"33003";"Centro-Sul"
"3306008";"Três Rios";"33003";"Centro-Sul"
"3306206";"Vassouras";"33003";"Centro-Sul"
"3300308";"Barra do Piraí";"33004";"Médio Paraíba"
"3300407";"Barra Mansa";"33004";"Médio Paraíba"
"3302254";"Itatiaia";"33004";"Médio Paraíba"
"3303955";"Pinheiral";"33004";"Médio Paraíba"
"3304003";"Piraí";"33004";"Médio Paraíba"
"3304110";"Porto Real";"33004";"Médio Paraíba"
"3304128";"Quatis";"33004";"Médio Paraíba"
"3304201";"Resende";"33004";"Médio Paraíba"
"3304409";"Rio Claro";"33004";"Médio Paraíba"
"3304508";"Rio das Flores";"33004";"Médio Paraíba"
"3306107";"Valença";"33004";"Médio Paraíba"
"3306305";"Volta Redonda";"33004";"Médio Paraíba"
"3300456";"Belford Roxo";"33005";"Metropolitana I"
"3301702";"Duque de Caxias";"33005";"Metropolitana I"
"3302007";"Itaguaí";"33005";"Metropolitana I"
"3302270";"Japeri";"33005";"Metropolitana I"
"3302502";"Magé";"33005";"Metropolitana I"
"3302858";"Mesquita";"33005";"Metropolitana I"
"3303203";"Nilópolis";"33005";"Metropolitana I"
"3303500";"Nova Iguaçu";"33005";"Metropolitana I"
"3304144";"Queimados";"33005";"Metropolitana I"
"3304557";"Rio de Janeiro";"33005";"Metropolitana I"
"3305109";"São João de Meriti";"33005";"Metropolitana I"
"3305554";"Seropédica";"33005";"Metropolitana I"
"3301900";"Itaboraí";"33006";"Metropolitana II"
"3302700";"Maricá";"33006";"Metropolitana II"
"3303302";"Niterói";"33006";"Metropolitana II"
"3304300";"Rio Bonito";"33006";"Metropolitana II"
"3304904";"São Gonçalo";"33006";"Metropolitana II"
"3305604";"Silva Jardim";"33006";"Metropolitana II"
"3305752";"Tanguá";"33006";"Metropolitana II"
"3300159";"Aperibé";"33007";"Noroeste"
"3300605";"Bom Jesus do Itabapoana";"33007";"Noroeste"
"3300902";"Cambuci";"33007";"Noroeste"
"3301157";"Cardoso Moreira";"33007";"Noroeste"
"3302056";"Italva";"33007";"Noroeste"
"3302106";"Itaocara";"33007";"Noroeste"
"3302205";"Itaperuna";"33007";"Noroeste"
"3302304";"Laje do Muriaé";"33007";"Noroeste"
"3303005";"Miracema";"33007";"Noroeste"
"3303104";"Natividade";"33007";"Noroeste"
"3304102";"Porciúncula";"33007";"Noroeste"
"3304706";"Santo Antônio de Pádua";"33007";"Noroeste"
"3305133";"São José de Ubá";"33007";"Noroeste"
"3306156";"Varre-Sai";"33007";"Noroeste"
"3301009";"Campos dos Goytacazes";"33008";"Norte"
"3300936";"Carapebus";"33008";"Norte"
"3301405";"Conceição de Macabu";"33008";"Norte"
"3302403";"Macaé";"33008";"Norte"
"3304151";"Quissamã";"33008";"Norte"
"3304805";"São Fidélis";"33008";"Norte"
"3304755";"São Francisco de Itabapoana";"33008";"Norte"
"3305000";"São João da Barra";"33008";"Norte"
"3300506";"Bom Jardim";"33009";"Serrana"
"3300803";"Cachoeiras de Macacu";"33009";"Serrana"
"3301108";"Cantagalo";"33009";"Serrana"
"3301207";"Carmo";"33009";"Serrana"
"3301504";"Cordeiro";"33009";"Serrana"
"3301603";"Duas Barras";"33009";"Serrana"
"3301850";"Guapimirim";"33009";"Serrana"
"3302452";"Macuco";"33009";"Serrana"
"3303401";"Nova Friburgo";"33009";"Serrana"
"3303906";"Petrópolis";"33009";"Serrana"
"3304607";"Santa Maria Madalena";"33009";"Serrana"
"3305158";"São José do Vale do Rio Preto";"33009";"Serrana"
"3305307";"São Sebastião do Alto";"33009";"Serrana"
"3305703";"Sumidouro";"33009";"Serrana"
"3305802";"Teresópolis";"33009";"Serrana"
"3305901";"Trajano de Moraes";"33009";"Serrana"
