"codigo_ibge";"municipio";"casos_por_residencia";"casos_por_notificacao";"notificados_residentes_do_municipio";"notificados_de_outro_municipio_rj";"notificados_de_fora_do_rj";"residentes_notificados_fora_do_rj";"residentes_sem_municipio_de_notificacao";"razao_notificacao_residencia";"saldo_notificacao_menos_residencia"
"3304557";"Rio de Janeiro";14768;16487;14277;2134;76;70;13;1,116;1719
"3306305";"Volta Redonda";1404;2513;1390;1094;29;3;0;1,79;1109
"3303302";"Niterói";2268;3330;2077;1243;10;9;0;1,468;1062
"3302403";"Macaé";1049;1290;1024;263;3;6;0;1,23;241
"3303401";"Nova Friburgo";1428;1606;1409;195;2;2;0;1,125;178
"3303906";"Petrópolis";1510;1624;1478;146;0;1;0;1,075;114
"3304201";"Resende";689;786;662;110;14;3;0;1,141;97
"3302205";"Itaperuna";154;216;141;74;1;4;0;1,403;62
"3301009";"Campos dos Goytacazes";929;979;908;70;1;3;0;1,054;50
"3304300";"Rio Bonito";268;313;221;92;0;0;0;1,168;45
"3306206";"Vassouras";134;168;115;53;0;2;0;1,254;34
"3303203";"Nilópolis";227;256;55;201;0;1;0;1,128;29
"3300605";"Bom Jesus do Itabapoana";35;41;29;10;2;1;0;1,171;6
"3304607";"Santa Maria Madalena";1;0;0;0;0;0;0;0;-1
"3304706";"Santo Antônio de Pádua";65;64;51;9;4;2;0;0,985;-1
"3305307";"São Sebastião do Alto";11;10;10;0;0;0;0;0,909;-1
"3300902";"Cambuci";124;121;119;2;0;0;0;0,976;-3
"3300951";"Comendador Levy Gasparian";6;1;1;0;0;0;0;0,167;-5
"3302304";"Laje do Muriaé";5;0;0;0;0;0;0;0;-5
"3303005";"Miracema";32;27;27;0;0;3;0;0,844;-5
"3300159";"Aperibé";6;0;0;0;0;0;0;0;-6
"3301157";"Cardoso Moreira";6;0;0;0;0;0;0;0;-6
"3306156";"Varre-Sai";6;0;0;0;0;1;0;0;-6
"3304151";"Quissamã";56;49;47;2;0;0;0;0,875;-7
"3305133";"São José de Ubá";8;0;0;0;0;0;0;0;-8
"3301207";"Carmo";58;48;47;0;1;5;0;0,828;-10
"3303856";"Paty do Alferes";10;0;0;0;0;1;0;0;-10
"3302056";"Italva";11;0;0;0;0;0;0;0;-11
"3305158";"São José do Vale do Rio Preto";18;7;6;0;1;0;0;0,389;-11
"3305901";"Trajano de Moraes";11;0;0;0;0;1;0;0;-11
"3303104";"Natividade";12;0;0;0;0;1;0;0;-12
"3302106";"Itaocara";23;10;9;0;1;2;0;0,435;-13
"3301801";"Engenheiro Paulo de Frontin";15;1;1;0;0;0;0;0,067;-14
"3302908";"Miguel Pereira";20;5;4;1;0;1;0;0,25;-15
