"recorte";"agente";"ano_epidemiologico";"semana_epidemiologica";"inicio_da_semana";"casos"
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;1;"2022-01-02";839
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;2;"2022-01-09";2015
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;3;"2022-01-16";2265
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;4;"2022-01-23";1666
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;5;"2022-01-30";873
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;6;"2022-02-06";362
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;7;"2022-02-13";212
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;8;"2022-02-20";118
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;9;"2022-02-27";72
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;10;"2022-03-06";64
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;11;"2022-03-13";30
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;12;"2022-03-20";33
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;13;"2022-03-27";46
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;14;"2022-04-03";34
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;15;"2022-04-10";31
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;16;"2022-04-17";34
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;17;"2022-04-24";51
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;18;"2022-05-01";60
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;19;"2022-05-08";80
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;20;"2022-05-15";153
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;21;"2022-05-22";274
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;22;"2022-05-29";448
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;23;"2022-06-05";600
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;24;"2022-06-12";664
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;25;"2022-06-19";767
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;26;"2022-06-26";642
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;27;"2022-07-03";397
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;28;"2022-07-10";265
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;29;"2022-07-17";169
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;30;"2022-07-24";93
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;31;"2022-07-31";73
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;32;"2022-08-07";50
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;33;"2022-08-14";45
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;34;"2022-08-21";38
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;35;"2022-08-28";35
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;36;"2022-09-04";21
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;37;"2022-09-11";18
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;38;"2022-09-18";20
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;39;"2022-09-25";17
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;40;"2022-10-02";22
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;41;"2022-10-09";39
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;42;"2022-10-16";47
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;43;"2022-10-23";91
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;44;"2022-10-30";210
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;45;"2022-11-06";457
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;46;"2022-11-13";596
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;47;"2022-11-20";458
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;48;"2022-11-27";361
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;49;"2022-12-04";293
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;50;"2022-12-11";157
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;51;"2022-12-18";132
"Estado do Rio de Janeiro";"SARS-CoV-2";2022;52;"2022-12-25";121
"Estado do Rio de Janeiro";"SARS-CoV-2";2023;1;"2023-01-01";83
"Estado do Rio de Janeiro";"SARS-CoV-2";2023;2;"2023-01-08";55
"Estado do Rio de Janeiro";"SARS-CoV-2";2023;3;"2023-01-15";55
"Estado do Rio de Janeiro";"SARS-CoV-2";2023;4;"2023-01-22";39
"Estado do Rio de Janeiro";"SARS-CoV-2";2023;5;"2023-01-29";60
