"agente","ano","casos","populacao","populacao_unica","incid_100k","incid_100k_pop2024"
"influenza",2022,384,16055174,17219679,2.39175234102103,2.23000672660623
"influenza",2023,671,16610812,17219679,4.03953762164065,3.89670446237703
"influenza",2024,1727,17219679,17219679,10.0292229605442,10.0292229605442
"influenza",2025,2754,17223547,17219679,15.9897377700424,15.993329492379
"sarscov2",2022,16658,16055174,17219679,103.75471483523,96.7381563849129
"sarscov2",2023,4062,16610812,17219679,24.4539520403939,23.5892899048815
"sarscov2",2024,2278,17219679,17219679,13.2290503208567,13.2290503208567
"sarscov2",2025,1089,17223547,17219679,6.32273944501676,6.32415970123485
"vsr",2022,1169,16055174,17219679,7.28114189232705,6.78874443594448
"vsr",2023,921,16610812,17219679,5.54458144490468,5.34853175834462
"vsr",2024,2037,17219679,17219679,11.829488807544,11.829488807544
"vsr",2025,3812,17223547,17219679,22.1324910600587,22.1374626089139
