"cod6","ano","agente","casos","populacao","fonte_populacao","populacao_unica","incid_100k","incid_100k_pop2024","incid_eb_100k","incid_pad_100k"
"330010",2022,"influenza",1,167434,"Censo 2022, população residente (data de referência 01/08/2022)",179120,0.597250259803863,0.558284948637785,0.746145738287165,1.06069599056866
"330010",2023,"influenza",19,173010,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",179120,10.9820241604532,10.6074140241179,9.86753643292519,10.3103895469406
"330010",2024,"influenza",21,179120,"Estimativa da população residente, 1º de julho de 2024",179120,11.7239839213935,11.7239839213935,11.4809685217125,12.50431788984
"330010",2025,"influenza",15,179142,"Estimativa da população residente, 1º de julho de 2025",179120,8.37324580500385,8.37427422956677,8.80111591511798,9.03166679757684
"330010",2022,"sarscov2",145,167434,"Censo 2022, população residente (data de referência 01/08/2022)",179120,86.6012876715601,80.9513175524788,86.8810624944148,110.422354174689
"330010",2023,"sarscov2",31,173010,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",179120,17.9180394196867,17.3068334077713,18.116662651179,19.1088453651618
"330010",2024,"sarscov2",21,179120,"Estimativa da população residente, 1º de julho de 2024",179120,11.7239839213935,11.7239839213935,11.8381429750741,13.893604960773
"330010",2025,"sarscov2",13,179142,"Estimativa da população residente, 1º de julho de 2025",179120,7.25681303100334,7.2577043322912,7.04980418886483,6.98261794985458
"330010",2022,"vsr",4,167434,"Censo 2022, população residente (data de referência 01/08/2022)",179120,2.38900103921545,2.23313979455114,3.096878676817,2.57953460958049
"330010",2023,"vsr",12,173010,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",179120,6.93601525923357,6.69941938365342,6.8221360962163,5.99941291769581
"330010",2024,"vsr",27,179120,"Estimativa da população residente, 1º de julho de 2024",179120,15.0736936132202,15.0736936132202,14.5400190804613,13.4353382211109
"330010",2025,"vsr",46,179142,"Estimativa da população residente, 1º de julho de 2025",179120,25.6779538020118,25.6811076373381,25.4349177768956,22.0796456178814
"330015",2022,"influenza",0,11034,"Censo 2022, população residente (data de referência 01/08/2022)",11420,0,0,1.38384408819478,0
"330015",2023,"influenza",0,11218,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",11420,0,0,3.01667568729964,0
"330015",2024,"influenza",3,11420,"Estimativa da população residente, 1º de julho de 2024",11420,26.2697022767075,26.2697022767075,14.5086682847427,24.4280226217064
"330015",2025,"influenza",0,11426,"Estimativa da população residente, 1º de julho de 2025",11420,0,0,7.71856532636074,0
"330015",2022,"sarscov2",2,11034,"Censo 2022, população residente (data de referência 01/08/2022)",11420,18.1257930034439,17.5131348511384,35.3391356415161,16.6487368186543
"330015",2023,"sarscov2",1,11218,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",11420,8.9142449634516,8.75656742556918,13.9780242707296,7.57321043025081
"330015",2024,"sarscov2",0,11420,"Estimativa da população residente, 1º de julho de 2024",11420,0,0,7.44543094466549,0
"330015",2025,"sarscov2",0,11426,"Estimativa da população residente, 1º de julho de 2025",11420,0,0,5.16556502748797,0
"330015",2022,"vsr",0,11034,"Censo 2022, população residente (data de referência 01/08/2022)",11420,0,0,5.23997219235523,0
"330015",2023,"vsr",0,11218,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",11420,0,0,3.20976517411637,0
"330015",2024,"vsr",0,11420,"Estimativa da população residente, 1º de julho de 2024",11420,0,0,8.93589350212705,0
"330015",2025,"vsr",0,11426,"Estimativa da população residente, 1º de julho de 2025",11420,0,0,11.8565998254255,0
"330020",2022,"influenza",9,129671,"Censo 2022, população residente (data de referência 01/08/2022)",137773,6.94064208651125,6.53248459422383,6.46478732294741,6.59368282057879
"330020",2023,"influenza",9,133537,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",137773,6.73970510045905,6.53248459422383,6.20355521843943,6.42148367730456
"330020",2024,"influenza",10,137773,"Estimativa da população residente, 1º de julho de 2024",137773,7.25831621580426,7.25831621580426,7.75357138948128,7.06291631891966
"330020",2025,"influenza",11,137906,"Estimativa da população residente, 1º de julho de 2025",137773,7.97644772526214,7.98414783738468,8.55155321896857,7.6677939923052
"330020",2022,"sarscov2",66,129671,"Censo 2022, população residente (data de referência 01/08/2022)",137773,50.8980419677491,47.9048870243081,52.0059415146033,47.7311138634901
"330020",2023,"sarscov2",11,133537,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",137773,8.2374173450055,7.98414783738468,8.87021898361469,7.61973386455552
"330020",2024,"sarscov2",5,137773,"Estimativa da população residente, 1º de julho de 2024",137773,3.62915810790213,3.62915810790213,4.55476355190353,3.41302484748549
"330020",2025,"sarscov2",1,137906,"Estimativa da população residente, 1º de julho de 2025",137773,0.725131611387467,0.725831621580426,2.23645819646741,0.747985941422623
"330020",2022,"vsr",4,129671,"Censo 2022, população residente (data de referência 01/08/2022)",137773,3.08472981622722,2.9033264863217,3.83706706915215,2.95624453216242
"330020",2023,"vsr",4,133537,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",137773,2.99542448909291,2.9033264863217,3.25934084235599,2.84281093100057
"330020",2024,"vsr",10,137773,"Estimativa da população residente, 1º de julho de 2024",137773,7.25831621580426,7.25831621580426,8.18995564845452,6.90200894914869
