"cod_regiao","regiao","n_municipios","agente","ano","casos","populacao","populacao_unica","incid_100k","incid_100k_pop2024"
"33001","Baía da Ilha Grande",3,"influenza",2022,1,253897,270358,0.393860502487229,0.369879936972459
"33002","Baixada Litorânea",9,"influenza",2022,28,846933,903171,3.30604664123372,3.10018811498598
"33003","Centro-Sul",11,"influenza",2022,15,320003,336061,4.68745605509948,4.46347538095762
"33004","Médio Paraíba",12,"influenza",2022,66,865130,918430,7.62891126189128,7.18617640974271
"33005","Metropolitana I",12,"influenza",2022,122,9705577,10462484,1.25700924324231,1.16607107834048
"33006","Metropolitana II",7,"influenza",2022,25,1908751,2043395,1.30975700864073,1.22345410456618
"33007","Noroeste",14,"influenza",2022,1,336995,353408,0.296740307719699,0.28295907279971
"33008","Norte",8,"influenza",2022,58,907868,969642,6.38859393656347,5.98158908133105
"33009","Serrana",16,"influenza",2022,68,910020,962730,7.47236324476385,7.06324722403997
"33001","Baía da Ilha Grande",3,"influenza",2023,19,261751,270358,7.25880703416606,7.02771880247672
"33002","Baixada Litorânea",9,"influenza",2023,56,873767,903171,6.40903124059389,6.20037622997195
"33003","Centro-Sul",11,"influenza",2023,15,327666,336061,4.57783230484701,4.46347538095762
"33004","Médio Paraíba",12,"influenza",2023,71,890562,918430,7.97249377359465,7.7305837135111
"33005","Metropolitana I",12,"influenza",2023,280,10066730,10462484,2.78143945451999,2.67622870438798
"33006","Metropolitana II",7,"influenza",2023,90,1972995,2043395,4.56159290824356,4.40443477643823
"33007","Noroeste",14,"influenza",2023,7,344827,353408,2.03000345100587,1.98071350959797
"33008","Norte",8,"influenza",2023,54,937344,969642,5.76095862351495,5.56906569641167
"33009","Serrana",16,"influenza",2023,79,935170,962730,8.44766192243122,8.20583133381114
"33001","Baía da Ilha Grande",3,"influenza",2024,24,270358,270358,8.87711848733901,8.87711848733901
"33002","Baixada Litorânea",9,"influenza",2024,104,903171,903171,11.5149844270908,11.5149844270908
"33003","Centro-Sul",11,"influenza",2024,16,336061,336061,4.7610404063548,4.7610404063548
"33004","Médio Paraíba",12,"influenza",2024,175,918430,918430,19.0542556318936,19.0542556318936
"33005","Metropolitana I",12,"influenza",2024,933,10462484,10462484,8.9175763614071,8.9175763614071
"33006","Metropolitana II",7,"influenza",2024,178,2043395,2043395,8.71099322451117,8.71099322451117
"33007","Noroeste",14,"influenza",2024,71,353408,353408,20.0900941687794,20.0900941687794
"33008","Norte",8,"influenza",2024,90,969642,969642,9.28177616068611,9.28177616068611
"33009","Serrana",16,"influenza",2024,136,962730,962730,14.1264944480799,14.1264944480799
"33001","Baía da Ilha Grande",3,"influenza",2025,22,270470,270358,8.1339889821422,8.13735861339409
"33002","Baixada Litorânea",9,"influenza",2025,97,904392,903171,10.7254376420844,10.7399373983443
"33003","Centro-Sul",11,"influenza",2025,84,336114,336061,24.9915207340367,24.9954621333627
"33004","Médio Paraíba",12,"influenza",2025,391,918649,918430,42.5625021090754,42.5726511546879
"33005","Metropolitana I",12,"influenza",2025,1328,10463654,10462484,12.6915511541188,12.6929704265259
"33006","Metropolitana II",7,"influenza",2025,297,2043599,2043395,14.5331838584771,14.5346347622462
"33007","Noroeste",14,"influenza",2025,83,353499,353408,23.4795572264702,23.485603042376
"33008","Norte",8,"influenza",2025,186,970288,969642,19.1695661494319,19.1823373987513
"33009","Serrana",16,"influenza",2025,266,962882,962730,27.6253995816725,27.6297611999211
"33001","Baía da Ilha Grande",3,"sarscov2",2022,184,253897,270358,72.4703324576501,68.0579084029324
"33002","Baixada Litorânea",9,"sarscov2",2022,692,846933,903171,81.7065812762048,76.6189348417963
"33003","Centro-Sul",11,"sarscov2",2022,329,320003,336061,102.811536141849,97.8988933556706
"33004","Médio Paraíba",12,"sarscov2",2022,1782,865130,918430,205.980604071064,194.026763063053
"33005","Metropolitana I",12,"sarscov2",2022,8041,9705577,10462484,82.8492731550118,76.8555536142277
"33006","Metropolitana II",7,"sarscov2",2022,2745,1908751,2043395,143.811319548752,134.335260681366
