"cod_regiao","regiao","ano","populacao","leitos_sus","uti_sus","leitos_sus_100k","uti_sus_100k","casos","taxa_srag_100k"
"33001","Baía da Ilha Grande",2022,253897,417,32,164.239829537175,12.6035360795913,192,75.621216477548
"33002","Baixada Litorânea",2022,846933,889,43,104.966980859171,5.07714305618036,754,89.0271131246509
"33003","Centro-Sul",2022,320003,775,71,242.185229513473,22.1872919941376,347,108.436483407968
"33004","Médio Paraíba",2022,865130,1773,137,204.940297989897,15.8357703466531,1893,218.811045738791
"33005","Metropolitana I",2022,9705577,12708,1280,130.935028386257,13.1882936995915,8971,92.4313927961212
"33006","Metropolitana II",2022,1908751,2608,231,136.633851141401,12.1021547598403,2954,154.760888140989
"33007","Noroeste",2022,336995,752,108,223.148711405214,32.0479532337275,233,69.1404916986899
"33008","Norte",2022,907868,1916,213,211.043896249234,23.4615604911727,1034,113.893209144942
"33009","Serrana",2022,910020,2357,154,259.005296586888,16.9227049954946,1833,201.424144524296
"33001","Baía da Ilha Grande",2023,261751,378,32,144.412055732356,12.2253592154376,70,26.7429732837697
"33002","Baixada Litorânea",2023,873767,969,43,110.899129859562,4.92122041688459,192,21.9738213963219
"33003","Centro-Sul",2023,327666,822,71,250.865210305616,21.6684062429425,63,19.2268956803574
"33004","Médio Paraíba",2023,890562,1913,231,214.808177308262,25.9386769253572,586,65.8011457933305
"33005","Metropolitana I",2023,10066730,12473,1307,123.903193986528,12.9833620252058,2550,25.330966460807
"33006","Metropolitana II",2023,1972995,2663,234,134.972465718362,11.8601415614333,901,45.6666134480827
"33007","Noroeste",2023,344827,775,108,224.75038207565,31.3200532440905,54,15.6600266220453
"33008","Norte",2023,937344,1876,231,200.139969957668,24.6441007783695,398,42.4603987436843
"33009","Serrana",2023,935170,2273,124,243.057412021344,13.2596212453351,840,89.8232406942053
"33001","Baía da Ilha Grande",2024,270358,382,32,141.294135923479,11.8361579831187,82,30.3301548317416
"33002","Baixada Litorânea",2024,903171,993,38,109.945957077896,4.2073981560524,281,31.1126021539664
"33003","Centro-Sul",2024,336061,895,71,266.320697730472,21.1271168031994,37,11.0099059396955
"33004","Médio Paraíba",2024,918430,1885,241,205.241553520682,26.2404320416363,509,55.4206635236218
"33005","Metropolitana I",2024,10462484,12698,1404,121.366971743995,13.419375360574,3211,30.690608463535
"33006","Metropolitana II",2024,2043395,2510,241,122.834792098444,11.7940975680179,986,48.25302988409
"33007","Noroeste",2024,353408,821,108,232.309398768562,30.5595798623687,107,30.276620789569
"33008","Norte",2024,969642,1891,251,195.020430220638,25.8858424036913,301,31.0423847151835
"33009","Serrana",2024,962730,2072,124,215.221297767806,12.8800390556023,528,54.8440372690162
"33001","Baía da Ilha Grande",2025,270470,382,32,141.235626871742,11.8312567012977,91,33.6451362443155
"33002","Baixada Litorânea",2025,904392,1044,58,115.436669055012,6.41314828083398,275,30.4071685729197
"33003","Centro-Sul",2025,336114,832,64,247.535062508554,19.0411586545041,122,36.2972086851485
"33004","Médio Paraíba",2025,918649,1839,223,200.185272068004,24.274777417708,667,72.6066212448933
"33005","Metropolitana I",2025,10463654,12657,1461,120.96156849223,13.9626176477166,3998,38.2084499353667
"33006","Metropolitana II",2025,2043599,2524,241,123.507596157563,11.7929202353299,1258,61.5580649628425
"33007","Noroeste",2025,353499,891,108,252.051632395,30.5517130175757,122,34.5121202605948
"33008","Norte",2025,970288,1886,251,194.375278267896,25.8686080833732,482,49.6759724947644
"33009","Serrana",2025,962882,2055,124,213.421790001267,12.8780058200278,640,66.4671268130467
