"ano","semana_epi","fichas","nao_encerradas","proporcao"
2025,1,212,0,0
2025,2,209,1,0.00478468899521531
2025,3,200,2,0.01
2025,4,183,1,0.00546448087431694
2025,5,165,1,0.00606060606060606
2025,6,189,0,0
2025,7,224,4,0.0178571428571429
2025,8,249,1,0.00401606425702811
2025,9,230,0,0
2025,10,243,0,0
2025,11,258,2,0.00775193798449612
2025,12,291,1,0.00343642611683849
2025,13,294,2,0.00680272108843537
2025,14,422,0,0
2025,15,450,5,0.0111111111111111
2025,16,449,3,0.0066815144766147
2025,17,580,1,0.00172413793103448
2025,18,667,2,0.00299850074962519
2025,19,779,4,0.00513478818998716
2025,20,957,3,0.00313479623824451
2025,21,1083,2,0.00184672206832872
2025,22,978,4,0.00408997955010225
2025,23,1004,1,0.00099601593625498
2025,24,886,5,0.00564334085778781
2025,25,800,2,0.0025
2025,26,670,7,0.0104477611940299
2025,27,642,8,0.0124610591900312
2025,28,576,9,0.015625
2025,29,543,7,0.0128913443830571
2025,30,464,2,0.00431034482758621
2025,31,359,2,0.00557103064066852
2025,32,391,3,0.00767263427109974
2025,33,443,2,0.00451467268623025
2025,34,474,2,0.00421940928270042
2025,35,420,0,0
2025,36,373,3,0.00804289544235925
2025,37,372,3,0.00806451612903226
2025,38,409,3,0.00733496332518337
2025,39,377,3,0.00795755968169761
2025,40,456,5,0.0109649122807018
2025,41,372,3,0.00806451612903226
2025,42,396,3,0.00757575757575758
2025,43,413,3,0.00726392251815981
2025,44,419,0,0
2025,45,418,3,0.00717703349282297
2025,46,393,2,0.00508905852417303
2025,47,352,1,0.00284090909090909
2025,48,322,2,0.0062111801242236
2025,49,329,4,0.0121580547112462
2025,50,290,1,0.00344827586206897
2025,51,243,2,0.00823045267489712
2025,52,180,1,0.00555555555555556
2025,53,226,7,0.0309734513274336
