"agente","ano","faixa","casos","populacao_faixa","taxa_100k","proporcao"
"sarscov2",2022,"<1",636,154521,411.594540547887,0.0381798535238324
"sarscov2",2022,"1-4",447,721248,61.975908425396,0.0268339536559011
"sarscov2",2022,"5-9",186,1015741,18.3117546697436,0.011165806219234
"sarscov2",2022,"10-19",251,1976614,12.6984833659986,0.0150678352743427
"sarscov2",2022,"20-29",561,2309937,24.2863766414409,0.0336775123063993
"sarscov2",2022,"30-39",742,2376896,31.2171840921942,0.0445431624444711
"sarscov2",2022,"40-49",1050,2401463,43.7233469764056,0.0630327770440629
"sarscov2",2022,"50-59",1541,2073125,74.3322279167923,0.0925081042141914
"sarscov2",2022,"60-69",2671,1678255,159.15340636554,0.16034337855685
"sarscov2",2022,"70-79",3347,913288,366.478044165696,0.20092448072998
"sarscov2",2022,"80+",5226,434086,1203.90890284414,0.313723136030736
"sarscov2",2023,"<1",301,159818.447256562,188.338708807998,0.0741014278680453
"sarscov2",2023,"1-4",152,746016.142722607,20.3748942275259,0.0374199901526342
"sarscov2",2023,"5-9",86,1050706.08617346,8.18497209940047,0.0211718365337272
"sarscov2",2023,"10-19",86,2044687.34429526,4.20602202287517,0.0211718365337272
"sarscov2",2023,"20-29",138,2389994.32479614,5.77407228830014,0.03397341211226
"sarscov2",2023,"30-39",164,2459458.17242146,6.66813535757487,0.0403741999015263
"sarscov2",2023,"40-49",196,2484674.04828756,7.88835864145171,0.0482520925652388
"sarscov2",2023,"50-59",314,2144679.18051597,14.6408844200398,0.0773018217626785
"sarscov2",2023,"60-69",613,1736376.40595201,35.3034052926968,0.150910881339242
"sarscov2",2023,"70-79",818,945062.512375682,86.5551208822923,0.20137863121615
"sarscov2",2023,"80+",1194,449339.335203289,265.723453625491,0.293943870014771
"sarscov2",2024,"<1",239,165623.36555334,144.303310829068,0.104916593503073
"sarscov2",2024,"1-4",107,773156.981753096,13.8393628364298,0.0469710272168569
"sarscov2",2024,"5-9",52,1089020.74580684,4.77493199282205,0.0228270412642669
"sarscov2",2024,"10-19",51,2119281.90104396,2.40647551299699,0.0223880597014925
"sarscov2",2024,"20-29",71,2477721.03430607,2.86553647553324,0.0311676909569798
"sarscov2",2024,"30-39",93,2549929.73137314,3.64715932583442,0.0408252853380158
"sarscov2",2024,"40-49",109,2575856.63228935,4.23160197014241,0.0478489903424056
"sarscov2",2024,"50-59",152,2223088.09987663,6.83733586664582,0.0667251975417033
