"cod6","casos_res","casos_not","not_mesmo_municipio","not_de_outro_mun_rj","not_de_fora_do_rj","res_not_fora_do_rj","res_sem_not","razao_not_res","saldo"
"330455",14768,16487,14277,2134,76,70,13,1.11640032502709,1719
"330630",1404,2513,1390,1094,29,3,0,1.78988603988604,1109
"330330",2268,3330,2077,1243,10,9,0,1.46825396825397,1062
"330240",1049,1290,1024,263,3,6,0,1.22974261201144,241
"330340",1428,1606,1409,195,2,2,0,1.12464985994398,178
"330390",1510,1624,1478,146,0,1,0,1.07549668874172,114
"330420",689,786,662,110,14,3,0,1.14078374455733,97
"330220",154,216,141,74,1,4,0,1.4025974025974,62
"330100",929,979,908,70,1,3,0,1.05382131324004,50
"330430",268,313,221,92,0,0,0,1.16791044776119,45
"330620",134,168,115,53,0,2,0,1.25373134328358,34
"330320",227,256,55,201,0,1,0,1.12775330396476,29
"330060",35,41,29,10,2,1,0,1.17142857142857,6
"330460",1,0,0,0,0,0,0,0,-1
"330470",65,64,51,9,4,2,0,0.984615384615385,-1
"330530",11,10,10,0,0,0,0,0.909090909090909,-1
"330090",124,121,119,2,0,0,0,0.975806451612903,-3
"330095",6,1,1,0,0,0,0,0.166666666666667,-5
"330230",5,0,0,0,0,0,0,0,-5
"330300",32,27,27,0,0,3,0,0.84375,-5
"330015",6,0,0,0,0,0,0,0,-6
"330115",6,0,0,0,0,0,0,0,-6
"330615",6,0,0,0,0,1,0,0,-6
"330415",56,49,47,2,0,0,0,0.875,-7
"330513",8,0,0,0,0,0,0,0,-8
"330120",58,48,47,0,1,5,0,0.827586206896552,-10
"330385",10,0,0,0,0,1,0,0,-10
"330205",11,0,0,0,0,0,0,0,-11
"330515",18,7,6,0,1,0,0,0.388888888888889,-11
"330590",11,0,0,0,0,1,0,0,-11
"330310",12,0,0,0,0,1,0,0,-12
"330210",23,10,9,0,1,2,0,0.434782608695652,-13
"330180",15,1,1,0,0,0,0,0.0666666666666667,-14
"330290",20,5,4,1,0,1,0,0.25,-15
"330023",30,14,11,3,0,0,0,0.466666666666667,-16
"330110",56,40,27,13,0,0,0,0.714285714285714,-16
"330245",16,0,0,0,0,0,0,0,-16
"330410",29,13,13,0,0,1,0,0.448275862068966,-16
"330022",25,8,8,0,0,1,0,0.32,-17
"330570",32,15,15,0,0,0,0,0.46875,-17
"330093",37,18,18,0,0,0,0,0.486486486486487,-19
"330187",79,60,44,16,0,0,0,0.759493670886076,-19
"330480",27,8,8,0,0,0,0,0.296296296296296,-19
"330025",21,1,1,0,0,0,0,0.0476190476190476,-20
"330450",20,0,0,0,0,0,0,0,-20
"330500",32,12,12,0,0,0,0,0.375,-20
"330150",33,12,11,1,0,0,0,0.363636363636364,-21
"330475",42,20,20,0,0,0,0,0.476190476190476,-22
"330280",23,0,0,0,0,0,0,0,-23
"330370",98,75,75,0,0,8,0,0.76530612244898,-23
"330610",416,393,358,26,9,2,0,0.944711538461538,-23
"330160",25,1,1,0,0,0,0,0.04,-24
"330380",31,7,7,0,0,6,0,0.225806451612903,-24
"330140",43,18,18,0,0,0,0,0.418604651162791,-25
"330540",36,11,11,0,0,14,0,0.305555555555556,-25
"330185",56,30,19,11,0,0,0,0.535714285714286,-26
"330360",45,18,16,2,0,1,0,0.4,-27
"330550",147,118,102,16,0,1,0,0.802721088435374,-29
"330600",157,128,112,15,1,16,0,0.815286624203822,-29
"330560",30,0,0,0,0,0,0,0,-30
"330020",173,137,85,52,0,0,0,0.791907514450867,-36
"330130",97,59,57,2,0,1,0,0.608247422680412,-38
"330412",44,3,3,0,0,1,0,0.0681818181818182,-41
"330050",56,13,13,0,0,0,0,0.232142857142857,-43
"330010",355,310,300,10,0,1,0,0.873239436619718,-45
"330200",184,139,101,38,0,1,1,0.755434782608696,-45
"330260",49,3,3,0,0,1,0,0.0612244897959184,-46
"330080",97,48,45,3,0,0,0,0.494845360824742,-49
"330440",49,0,0,0,0,2,0,0,-49
"330400",72,17,16,1,0,0,0,0.236111111111111,-55
"330395",77,20,20,0,0,0,0,0.25974025974026,-57
"330411",58,0,0,0,0,0,0,0,-58
"330227",59,0,0,0,0,0,0,0,-59
"330070",504,432,358,73,1,3,0,0.857142857142857,-72
"330520",122,45,19,26,0,0,0,0.368852459016393,-77
"330555",80,0,0,0,0,1,0,0,-80
"330225",91,7,6,1,0,0,0,0.0769230769230769,-84
"330575",99,13,13,0,0,0,0,0.131313131313131,-86
"330414",95,0,0,0,0,2,0,0,-95
"330580",433,334,303,31,0,0,0,0.771362586605081,-99
"330270",681,567,492,75,0,1,0,0.832599118942731,-114
"330190",511,384,258,125,1,1,0,0.75146771037182,-127
"330350",903,766,378,388,0,6,0,0.84828349944629,-137
"330170",1040,901,573,328,0,2,1,0.866346153846154,-139
"330030",452,309,301,8,0,0,0,0.683628318584071,-143
"330452",329,155,145,10,0,0,0,0.47112462006079,-174
"330285",190,15,6,9,0,0,0,0.0789473684210526,-175
"330040",283,91,84,5,2,1,0,0.321554770318021,-192
"330510",537,332,188,144,0,1,0,0.618249534450652,-205
"330250",268,31,31,0,0,2,0,0.115671641791045,-237
"330045",379,8,5,3,0,3,0,0.0211081794195251,-371
"330490",2242,1386,1233,152,1,8,0,0.618198037466548,-856
