"recorte","agente","inicio_semana","ano_epi","semana_epi","casos"
"Estado do Rio de Janeiro","sarscov2",2022-01-02,2022,1,839
"Estado do Rio de Janeiro","sarscov2",2022-01-09,2022,2,2015
"Estado do Rio de Janeiro","sarscov2",2022-01-16,2022,3,2265
"Estado do Rio de Janeiro","sarscov2",2022-01-23,2022,4,1666
"Estado do Rio de Janeiro","sarscov2",2022-01-30,2022,5,873
"Estado do Rio de Janeiro","sarscov2",2022-02-06,2022,6,362
"Estado do Rio de Janeiro","sarscov2",2022-02-13,2022,7,212
"Estado do Rio de Janeiro","sarscov2",2022-02-20,2022,8,118
"Estado do Rio de Janeiro","sarscov2",2022-02-27,2022,9,72
"Estado do Rio de Janeiro","sarscov2",2022-03-06,2022,10,64
"Estado do Rio de Janeiro","sarscov2",2022-03-13,2022,11,30
"Estado do Rio de Janeiro","sarscov2",2022-03-20,2022,12,33
"Estado do Rio de Janeiro","sarscov2",2022-03-27,2022,13,46
"Estado do Rio de Janeiro","sarscov2",2022-04-03,2022,14,34
"Estado do Rio de Janeiro","sarscov2",2022-04-10,2022,15,31
"Estado do Rio de Janeiro","sarscov2",2022-04-17,2022,16,34
"Estado do Rio de Janeiro","sarscov2",2022-04-24,2022,17,51
"Estado do Rio de Janeiro","sarscov2",2022-05-01,2022,18,60
"Estado do Rio de Janeiro","sarscov2",2022-05-08,2022,19,80
"Estado do Rio de Janeiro","sarscov2",2022-05-15,2022,20,153
"Estado do Rio de Janeiro","sarscov2",2022-05-22,2022,21,274
"Estado do Rio de Janeiro","sarscov2",2022-05-29,2022,22,448
"Estado do Rio de Janeiro","sarscov2",2022-06-05,2022,23,600
"Estado do Rio de Janeiro","sarscov2",2022-06-12,2022,24,664
"Estado do Rio de Janeiro","sarscov2",2022-06-19,2022,25,767
"Estado do Rio de Janeiro","sarscov2",2022-06-26,2022,26,642
"Estado do Rio de Janeiro","sarscov2",2022-07-03,2022,27,397
"Estado do Rio de Janeiro","sarscov2",2022-07-10,2022,28,265
"Estado do Rio de Janeiro","sarscov2",2022-07-17,2022,29,169
"Estado do Rio de Janeiro","sarscov2",2022-07-24,2022,30,93
"Estado do Rio de Janeiro","sarscov2",2022-07-31,2022,31,73
"Estado do Rio de Janeiro","sarscov2",2022-08-07,2022,32,50
"Estado do Rio de Janeiro","sarscov2",2022-08-14,2022,33,45
"Estado do Rio de Janeiro","sarscov2",2022-08-21,2022,34,38
"Estado do Rio de Janeiro","sarscov2",2022-08-28,2022,35,35
"Estado do Rio de Janeiro","sarscov2",2022-09-04,2022,36,21
"Estado do Rio de Janeiro","sarscov2",2022-09-11,2022,37,18
