"agente","ano","municipios_sem_caso","bruta_max_100k","eb_max_100k","bruta_min_100k","eb_min_100k","spearman_bruta_eb","mudanca_mediana_pct","media_estado_100k","variancia_a","encolhimento_total"
"influenza",2022,45,27.0036724994599,24.427995047644,0,0.198785452197443,0.776972195859116,10.5765609232803,2.39175234102103,1.57876346127061e-09,FALSE
"influenza",2023,31,26.3817438332674,17.1466714599863,0,1.14685855356279,0.842200629304846,17.0844192373817,4.03953762164065,1.2209689370893e-09,FALSE
"influenza",2024,13,66.35700066357,37.3640531837711,0,3.88762137191714,0.92837170217239,13.0089678115594,10.0292229605442,3.34487518945511e-09,FALSE
"influenza",2025,11,114.183863870554,91.7012609467355,0,2.39726802939616,0.961591016765184,6.87019391539807,15.9897377700424,1.49960753158194e-08,FALSE
"sarscov2",2022,1,451.559934318555,396.042937244987,0,21.2389443254134,0.993141500855386,3.2978050334689,103.75471483523,3.73735761342397e-07,FALSE
"sarscov2",2023,10,138.544367305567,135.477927431363,0,2.84609642861216,0.974480373926487,5.97912879837674,24.4539520403939,4.50973835770128e-08,FALSE
"sarscov2",2024,20,139.349701393497,77.0703045333519,0,1.79789181238561,0.905109566928006,11.6347003461668,13.2290503208567,8.99854781294251e-09,FALSE
"sarscov2",2025,27,22.5023305985263,20.0089751478509,0,2.23645819646741,0.82168303191295,17.6603814867394,6.32273944501676,1.23962993808554e-09,FALSE
"vsr",2022,44,39.6545646810011,30.1434356695049,0,1.0661448322686,0.39662550557166,25.5369561555714,7.28114189232705,2.57049430182057e-09,FALSE
"vsr",2023,43,45.7140464259293,43.6626695121727,0,0.71600119597993,0.711189476986983,10.0972931516414,5.54458144490468,3.5952805234212e-09,FALSE
"vsr",2024,31,43.9835569164143,31.9685761150065,0,4.39910214389929,0.617985731407995,17.7526103146022,11.829488807544,3.35428284230041e-09,FALSE
"vsr",2025,19,81.0372771474878,78.5168148868157,0,4.57648810133831,0.891042450191837,13.9930241348003,22.1324910600587,1.67878629222238e-08,FALSE
